Id,Category,pix-1,pix-2,pix-3,pix-4,pix-5,pix-6,pix-7,pix-8,pix-9,pix-10,pix-11,pix-12,pix-13,pix-14,pix-15,pix-16,pix-17,pix-18,pix-19,pix-20,pix-21,pix-22,pix-23,pix-24,pix-25,pix-26,pix-27,pix-28,pix-29,pix-30,pix-31,pix-32,pix-33,pix-34,pix-35,pix-36,pix-37,pix-38,pix-39,pix-40,pix-41,pix-42,pix-43,pix-44,pix-45,pix-46,pix-47,pix-48,pix-49,pix-50,pix-51,pix-52,pix-53,pix-54,pix-55,pix-56,pix-57,pix-58,pix-59,pix-60,pix-61,pix-62,pix-63,pix-64,pix-65,pix-66,pix-67,pix-68,pix-69,pix-70,pix-71,pix-72,pix-73,pix-74,pix-75,pix-76,pix-77,pix-78,pix-79,pix-80,pix-81,pix-82,pix-83,pix-84,pix-85,pix-86,pix-87,pix-88,pix-89,pix-90,pix-91,pix-92,pix-93,pix-94,pix-95,pix-96,pix-97,pix-98,pix-99,pix-100,pix-101,pix-102,pix-103,pix-104,pix-105,pix-106,pix-107,pix-108,pix-109,pix-110,pix-111,pix-112,pix-113,pix-114,pix-115,pix-116,pix-117,pix-118,pix-119,pix-120,pix-121,pix-122,pix-123,pix-124,pix-125,pix-126,pix-127,pix-128,pix-129,pix-130,pix-131,pix-132,pix-133,pix-134,pix-135,pix-136,pix-137,pix-138,pix-139,pix-140,pix-141,pix-142,pix-143,pix-144,pix-145,pix-146,pix-147,pix-148,pix-149,pix-150,pix-151,pix-152,pix-153,pix-154,pix-155,pix-156,pix-157,pix-158,pix-159,pix-160,pix-161,pix-162,pix-163,pix-164,pix-165,pix-166,pix-167,pix-168,pix-169,pix-170,pix-171,pix-172,pix-173,pix-174,pix-175,pix-176,pix-177,pix-178,pix-179,pix-180,pix-181,pix-182,pix-183,pix-184,pix-185,pix-186,pix-187,pix-188,pix-189,pix-190,pix-191,pix-192,pix-193,pix-194,pix-195,pix-196,pix-197,pix-198,pix-199,pix-200,pix-201,pix-202,pix-203,pix-204,pix-205,pix-206,pix-207,pix-208,pix-209,pix-210,pix-211,pix-212,pix-213,pix-214,pix-215,pix-216,pix-217,pix-218,pix-219,pix-220,pix-221,pix-222,pix-223,pix-224,pix-225,pix-226,pix-227,pix-228,pix-229,pix-230,pix-231,pix-232,pix-233,pix-234,pix-235,pix-236,pix-237,pix-238,pix-239,pix-240
1,0,0,4998,6664,6664,9996,9996,9996,9996,9996,8330,4998,1666,0,0,0,1666,9996,9996,9996,9996,8330,3332,4998,9996,9996,9996,9996,3332,0,0,4998,9996,9996,9996,4998,0,0,0,8330,9996,9996,9996,9996,4998,0,8330,9996,9996,9996,0,0,0,0,0,6664,9996,9996,9996,9996,0,9996,9996,9996,9996,0,0,0,0,0,4998,9996,9996,9996,9996,0,8330,9996,9996,9996,0,0,0,0,0,3332,9996,9996,9996,9996,0,6664,9996,9996,9996,0,0,0,0,0,0,1666,9996,9996,9996,4998,9996,9996,9996,1666,0,0,0,0,0,0,8330,9996,9996,9996,4998,9996,9996,9996,8330,0,0,0,0,0,0,4998,9996,9996,9996,8330,9996,9996,9996,9996,0,0,0,0,0,0,9996,9996,9996,9996,6664,9996,9996,9996,9996,0,0,0,0,0,3332,9996,9996,9996,9996,4998,9996,9996,9996,9996,0,0,0,0,0,4998,9996,9996,9996,9996,0,9996,9996,9996,9996,0,0,0,0,0,8330,9996,9996,9996,8330,0,8330,9996,9996,9996,4998,1666,0,0,4998,9996,9996,9996,9996,0,0,1666,8330,9996,9996,9996,9996,9996,9996,9996,9996,9996,8330,1666,0,0,0,0,4998,6664,6664,6664,6664,6664,6664,6664,4998,0,0,0,0
2,0,0,0,0,0,0,0,1666,4998,6664,6664,6664,6664,6664,1666,0,0,0,0,0,1666,6664,9996,9996,9996,9996,9996,9996,9996,8330,0,0,0,0,4998,9996,9996,8330,1666,1666,8330,9996,9996,9996,9996,4998,0,3332,9996,9996,9996,6664,0,0,0,4998,9996,9996,9996,9996,4998,0,4998,9996,9996,9996,1666,0,0,0,4998,9996,9996,9996,9996,4998,0,6664,9996,9996,3332,0,0,0,0,3332,9996,9996,9996,9996,4998,0,9996,9996,9996,0,0,0,0,0,1666,9996,9996,9996,9996,4998,3332,9996,9996,6664,0,0,0,0,0,4998,9996,9996,9996,9996,3332,4998,9996,9996,8330,0,0,0,0,0,4998,9996,9996,9996,9996,0,1666,9996,9996,1666,0,0,0,0,0,6664,9996,9996,9996,9996,0,3332,9996,9996,8330,0,0,0,0,3332,9996,9996,9996,9996,4998,0,4998,9996,9996,0,0,0,0,0,4998,9996,9996,9996,9996,4998,0,4998,9996,9996,0,0,0,0,1666,9996,9996,9996,9996,9996,3332,0,3332,9996,9996,8330,3332,3332,6664,9996,9996,9996,9996,9996,6664,0,0,0,1666,8330,9996,9996,9996,9996,9996,9996,9996,9996,4998,0,0,0,0,0,1666,4998,6664,3332,6664,6664,6664,6664,3332,0,0,0,0
3,0,0,0,1666,6664,6664,6664,6664,6664,6664,4998,0,0,0,0,0,0,0,1666,8330,9996,9996,9996,9996,9996,9996,8330,3332,0,0,0,0,0,0,6664,9996,9996,4998,3332,8330,9996,9996,6664,0,0,0,3332,6664,8330,9996,9996,1666,0,0,0,6664,9996,9996,8330,4998,0,4998,9996,9996,9996,9996,3332,0,0,0,8330,9996,9996,9996,9996,3332,4998,9996,9996,9996,4998,0,0,0,0,4998,9996,9996,9996,9996,4998,4998,9996,9996,9996,9996,0,0,0,0,0,4998,9996,9996,9996,4998,4998,9996,9996,9996,4998,0,0,0,0,0,4998,9996,9996,9996,4998,4998,9996,9996,9996,4998,0,0,0,0,0,4998,9996,9996,9996,4998,4998,9996,9996,9996,4998,0,0,0,0,0,4998,9996,9996,9996,1666,0,8330,9996,9996,9996,4998,0,0,0,4998,9996,9996,9996,9996,1666,0,4998,9996,9996,9996,9996,0,0,0,8330,9996,9996,9996,9996,3332,0,3332,8330,9996,9996,9996,1666,0,1666,8330,9996,9996,9996,9996,0,0,0,0,6664,9996,9996,9996,6664,9996,9996,9996,9996,9996,6664,0,0,0,0,3332,8330,9996,9996,9996,9996,9996,9996,9996,9996,4998,0,0,0,0,0,0,1666,4998,6664,6664,6664,6664,6664,3332,1666,0
4,0,0,0,4998,4998,3332,3332,6664,8330,9996,9996,9996,4998,0,0,0,0,4998,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,6664,0,0,0,6664,9996,9996,9996,6664,0,1666,8330,9996,9996,9996,9996,0,0,0,9996,9996,9996,4998,0,0,0,0,9996,9996,9996,9996,1666,0,0,9996,9996,9996,1666,0,0,0,3332,9996,9996,9996,9996,8330,0,0,9996,9996,9996,9996,3332,0,0,3332,9996,9996,9996,9996,9996,0,1666,9996,9996,9996,4998,0,0,0,0,6664,9996,9996,9996,9996,0,1666,9996,9996,9996,1666,0,0,0,0,4998,9996,9996,9996,9996,6664,0,4998,9996,9996,9996,3332,0,0,0,4998,9996,9996,9996,9996,6664,0,9996,9996,9996,9996,4998,0,0,0,4998,9996,9996,9996,9996,4998,0,9996,9996,9996,9996,1666,0,0,0,6664,9996,9996,9996,8330,1666,0,6664,9996,9996,9996,3332,0,0,3332,9996,9996,9996,9996,1666,0,0,0,9996,9996,9996,4998,0,0,8330,9996,9996,9996,9996,0,0,0,0,9996,9996,9996,8330,3332,8330,9996,9996,9996,9996,6664,0,0,0,0,8330,9996,9996,9996,9996,9996,9996,9996,9996,4998,0,0,0,0,0,0,4998,6664,6664,6664,6664,6664,3332,0,0,0,0,0
5,0,0,0,0,0,0,0,4998,6664,9996,9996,6664,4998,0,0,0,0,0,0,0,4998,8330,9996,9996,9996,9996,9996,9996,8330,1666,0,0,0,0,4998,9996,9996,9996,8330,8330,9996,9996,9996,9996,8330,0,0,0,1666,9996,9996,9996,6664,0,0,4998,8330,9996,9996,9996,1666,0,0,9996,9996,9996,9996,3332,0,0,0,0,9996,9996,9996,4998,0,3332,9996,9996,9996,1666,0,0,0,0,0,9996,9996,9996,0,0,4998,9996,9996,9996,0,0,0,0,0,0,9996,9996,9996,0,0,6664,9996,9996,9996,0,0,0,0,0,0,9996,9996,9996,6664,3332,9996,9996,9996,6664,0,0,0,0,0,0,9996,9996,9996,9996,0,9996,9996,9996,0,0,0,0,0,0,3332,9996,9996,9996,3332,0,9996,9996,9996,0,0,0,0,0,0,9996,9996,9996,9996,0,0,9996,9996,9996,0,0,0,0,0,0,9996,9996,9996,4998,0,0,9996,9996,9996,0,0,0,0,0,1666,9996,9996,9996,8330,0,0,9996,9996,9996,1666,1666,4998,6664,9996,9996,9996,9996,9996,1666,0,0,6664,9996,9996,9996,9996,9996,9996,9996,9996,9996,8330,1666,0,0,0,0,4998,6664,6664,6664,6664,6664,6664,4998,1666,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,8330,9996,9996,9996,9996,8330,0,0,0,0,0,0,0,0,4998,9996,9996,9996,9996,9996,9996,0,0,0,0,0,0,0,6664,9996,9996,9996,9996,9996,9996,9996,0,0,0,0,0,1666,8330,9996,9996,9996,9996,9996,9996,9996,8330,0,0,0,0,3332,9996,9996,9996,4998,0,4998,9996,9996,9996,1666,0,0,0,0,4998,9996,9996,9996,3332,0,4998,9996,9996,9996,4998,0,0,1666,6664,9996,9996,9996,6664,1666,0,4998,9996,9996,9996,6664,0,0,4998,9996,9996,9996,1666,0,0,0,4998,9996,9996,9996,9996,0,0,4998,9996,9996,9996,0,0,0,4998,9996,9996,9996,9996,8330,0,1666,8330,9996,9996,9996,0,0,0,9996,9996,9996,9996,9996,1666,0,9996,9996,9996,9996,4998,0,0,4998,9996,9996,9996,9996,9996,0,0,9996,9996,9996,9996,3332,0,4998,9996,9996,9996,9996,8330,1666,0,3332,9996,9996,9996,9996,3332,3332,8330,9996,9996,8330,6664,1666,0,0,9996,9996,9996,9996,9996,9996,9996,9996,9996,1666,0,0,0,0,0,9996,9996,9996,9996,9996,9996,9996,9996,8330,0,0,0,0,0,0,6664,6664,6664,6664,6664,6664,6664,3332,0,0,0,0,0,0,0
7,0,0,4998,6664,6664,9996,9996,9996,8330,6664,8330,9996,6664,4998,0,0,6664,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,0,0,9996,9996,9996,9996,4998,3332,3332,1666,0,4998,9996,9996,9996,1666,0,8330,9996,9996,9996,1666,0,0,0,0,0,1666,9996,9996,8330,0,1666,9996,9996,9996,4998,0,0,0,0,0,0,9996,9996,9996,1666,0,9996,9996,9996,4998,0,0,0,0,0,0,8330,9996,9996,4998,0,9996,9996,9996,9996,3332,0,0,0,0,0,6664,9996,9996,8330,0,9996,9996,9996,9996,4998,0,0,0,0,0,9996,9996,9996,9996,1666,9996,9996,9996,8330,1666,0,0,0,0,0,6664,9996,9996,9996,4998,9996,9996,9996,0,0,0,0,0,0,0,4998,9996,9996,9996,0,9996,9996,9996,3332,0,0,0,0,0,0,8330,9996,9996,6664,0,9996,9996,9996,4998,0,0,0,0,0,0,9996,9996,9996,4998,0,9996,9996,9996,1666,0,0,0,0,0,4998,9996,9996,9996,1666,0,9996,9996,9996,4998,3332,3332,1666,0,6664,9996,9996,9996,9996,0,0,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,6664,0,0,4998,6664,6664,6664,6664,6664,6664,6664,6664,6664,6664,4998,0,0
8,0,0,0,0,4998,9996,9996,9996,9996,9996,9996,8330,1666,0,0,0,0,0,6664,9996,9996,9996,9996,9996,9996,9996,9996,9996,8330,0,0,0,0,9996,9996,9996,9996,8330,3332,3332,8330,9996,9996,9996,1666,0,0,4998,9996,9996,9996,6664,0,0,0,3332,9996,9996,9996,8330,0,0,6664,9996,9996,9996,4998,0,0,0,0,6664,9996,9996,9996,6664,0,9996,9996,9996,8330,1666,0,0,0,0,0,9996,9996,9996,9996,0,9996,9996,9996,0,0,0,0,0,0,0,6664,9996,9996,9996,4998,9996,9996,9996,0,0,0,0,0,0,0,0,9996,9996,9996,6664,9996,9996,6664,0,0,0,0,0,0,0,6664,9996,9996,6664,9996,9996,9996,4998,0,0,0,0,0,0,0,9996,9996,9996,0,9996,9996,9996,6664,0,0,0,0,0,0,4998,9996,9996,9996,0,9996,9996,9996,9996,0,0,0,0,0,1666,8330,9996,9996,6664,0,9996,9996,9996,9996,1666,0,0,0,4998,9996,9996,9996,9996,4998,0,8330,9996,9996,9996,9996,6664,3332,8330,9996,9996,9996,9996,6664,0,0,0,4998,9996,9996,9996,9996,9996,9996,9996,9996,9996,4998,0,0,0,0,0,1666,4998,6664,6664,6664,6664,6664,4998,0,0,0,0,0
9,0,0,0,4998,6664,9996,9996,9996,9996,9996,9996,9996,9996,9996,4998,0,0,1666,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,0,0,8330,9996,9996,8330,1666,0,0,0,1666,8330,9996,9996,9996,0,3332,9996,9996,9996,4998,0,0,0,0,0,4998,9996,9996,9996,0,3332,9996,9996,9996,0,0,0,0,0,0,3332,9996,9996,9996,0,1666,9996,9996,9996,0,0,0,0,0,0,0,9996,9996,9996,1666,4998,9996,9996,9996,0,0,0,0,0,0,0,9996,9996,9996,8330,1666,9996,9996,9996,0,0,0,0,0,0,0,9996,9996,9996,9996,3332,9996,9996,9996,0,0,0,0,0,0,0,9996,9996,9996,9996,9996,9996,9996,9996,0,0,0,0,0,0,0,9996,9996,9996,9996,9996,9996,9996,9996,0,0,0,0,0,0,0,9996,9996,9996,9996,9996,9996,9996,9996,0,0,0,0,0,0,0,9996,9996,9996,6664,9996,9996,9996,9996,0,0,0,0,0,0,1666,9996,9996,9996,4998,4998,9996,9996,9996,1666,0,0,0,0,0,6664,9996,9996,9996,3332,4998,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,8330,0,0,4998,6664,6664,6664,6664,6664,6664,6664,6664,6664,6664,6664,1666,0
10,0,0,1666,3332,6664,6664,6664,6664,6664,6664,6664,6664,6664,1666,0,0,0,9996,9996,9996,9996,8330,6664,6664,9996,9996,9996,9996,4998,0,0,0,9996,9996,9996,4998,0,0,0,1666,9996,9996,9996,6664,0,0,3332,9996,9996,8330,0,0,0,0,0,9996,9996,9996,9996,3332,0,4998,9996,9996,4998,0,0,0,0,0,9996,9996,9996,9996,4998,0,1666,9996,9996,4998,0,0,0,0,0,3332,9996,9996,9996,4998,0,0,9996,9996,9996,4998,0,0,0,0,0,9996,9996,9996,4998,0,0,4998,9996,9996,9996,0,0,0,0,0,9996,9996,9996,4998,0,0,4998,9996,9996,9996,0,0,0,0,0,9996,9996,9996,8330,0,0,1666,9996,9996,9996,0,0,0,0,0,4998,9996,9996,9996,4998,0,1666,9996,9996,9996,0,0,0,0,0,0,4998,9996,9996,0,0,4998,9996,9996,9996,1666,0,0,0,0,1666,9996,9996,9996,4998,0,3332,9996,9996,9996,8330,1666,0,0,0,8330,9996,9996,9996,4998,0,0,9996,9996,9996,9996,9996,6664,3332,8330,9996,9996,9996,9996,4998,0,0,8330,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,3332,0,0,0,1666,3332,3332,3332,4998,4998,3332,3332,3332,3332,1666,0
